Username,First Name,Last Name,Email,Role Name, Default Password
noroles,Noroles,NA,no.reply.komgo+noroles@gmail.com,,b4_V#7k[%NVr
jbourne,Jason,Bourne,no.reply.komgo+jbourne@gmail.com,userAdmin,b4_V#7k[%NVr
dsmith,David,Smith,no.reply.komgo+dsmith@gmail.com,userAdmin,b4_V#7k[%NVr
bjones,Bill,Jones,no.reply.komgo+bjones@gmail.com,userAdmin,b4_V#7k[%NVr
cjackson,Caroline,Jackson,no.reply.komgo+cjackson@gmail.com,kycAnalyst|complianceOfficer,b4_V#7k[%NVr
rrey,Richard,Rey,no.reply.komgo+rrey@gmail.com,kycAnalyst|complianceOfficer,b4_V#7k[%NVr
cneil,Catherine,Neil,no.reply.komgo+cneil@gmail.com,kycAnalyst|complianceOfficer,b4_V#7k[%NVr
mmatthews,Matt,Matthews,no.reply.komgo+mmatthews@gmail.com,tradeFinanceOfficer,b4_V#7k[%NVr
lphilby,Louise,Philby,no.reply.komgo+lphilby@gmail.com,tradeFinanceOfficer,b4_V#7k[%NVr
abates,Andrew,Bates,no.reply.komgo+abates@gmail.com,tradeFinanceOfficer,b4_V#7k[%NVr
cfoster,Charlotte,Foster,no.reply.komgo+cfoster@gmail.com,relationshipManager,b4_V#7k[%NVr
dandrews,Doug,Andrews,no.reply.komgo+dandrews@gmail.com,relationshipManager,b4_V#7k[%NVr
slaurens,Simon,Laurens,no.reply.komgo+slaurens@gmail.com,relationshipManager,b4_V#7k[%NVr
lpratt,Leanne,Pratt,no.reply.komgo+lpratt@gmail.com,middleAndBackOfficer,b4_V#7k[%NVr
jjenkins,Julian,Jenkins,no.reply.komgo+jjenkins@gmail.com,middleAndBackOfficer,b4_V#7k[%NVr
jgulliver,James,Gulliver,no.reply.komgo+jgulliver@gmail.com,middleAndBackOfficer,b4_V#7k[%NVr
lbrown,Liam,Brown,no.reply.komgo+lbrown@gmail.com,kycAnalyst,b4_V#7k[%NVr
mwhite,Maeve,White,no.reply.komgo+mwhite@gmail.com,complianceOfficer,b4_V#7k[%NVr
kapsuleadmin,KapsuleAdmin,NA,no.reply.komgo+kapsuleadmin@gmail.com,kapsuleAdmin,b4_V#7k[%NVr
consensysqa,Test,Gmail,consensysqa+consensysqa@gmail.com,tradeFinanceOfficer|relationshipManager,b4_V#7k[%NVr
superuser,Super,User,no.reply.komgo+superuser@gmail.com,userAdmin|kycAnalyst|complianceOfficer|tradeFinanceOfficer|relationshipManager|middleAndBackOfficer,z2L"Y!vYja>=
